Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5.0,... likes the flavor and his skin and hair seem better since I've been using this product,"April 24, 2018",Yes,My dog likes the flavor and his skin and hair seem better since I've been using this product. My dog is small so gets half a pill. I take a round toothpick and place the pill on the center of it and just push down to get a nice clean break. A knife just made a mess.,0
5.0,Good leash,"October 16, 2017",Yes,"The leash was exactly as described, priced well, and arrived when promised. It is perfect for my 100lb. Rottweiler. I like the short handle for keeping her next to me when necessary. I would recommend this leash.",0
5.0,Great,"November 17, 2017",Yes,These are really nice but super big for my puppy (Shih Tzu)  If you have a big dog you'll love them.,1
5.0,MY CAT EATS THEM 😳,"April 4, 2017",Yes,"OMG, my cat eats them! My cat is really particular about what he will eat. I've tried oils in the past with no luck and he actually eats these. I place them in with his dry food and they are gone when I go to refill it. Thank you for making a product my cat will eat!",1
5.0,Dog food bowls.,"December 3, 2017",Yes,"Thank for the dog food dishes, I was worried that they may not be large enough. I WAS PLEASANTLY  SURPRISED THAT THEY WERE PERFECT! !",1
5.0,Great Bowls!,"April 30, 2018",Yes,"My cat uses these and he loves them. I love them because they clean up so easy. They keep the water nice and cold. They sit on the floor, but do not move around which is very nice.",0
4.0,Great dog bowls,"December 18, 2017",Yes,Works as a dog bowl should. It gets four stars because the rubber ring gets really dirty and hard to clean.,1
4.0,"So far, the three cats haven't been making a ...","August 20, 2017",Yes,"So far,the three cats haven't been making a mess.They are large enough for all three to eat  from them.",1
5.0,Georgia Approved!,"December 1, 2016",Yes,"Our cat, Georgia, loves the flavor, and we love that this product is helping to keep her skin &amp; coat healthy.  We'll be reordering!",2
5.0,Happy Furkid!,"November 28, 2015",Yes,"Great quality product. Tried after using another brand for years, and these are easier to crush to sprinkle on my  beagle's meals. Packaging and size are also more suited for a medium sized dog. These are a necessity for my  son. If he doesn't smell liver dust, he refuses to eat.",1
5.0,Very convenient,"May 28, 2018",Yes,"Training my Lab/GSP for dog aggression is so much easier with a quick pull of the shorter training leash. The long leash works great the rest of the time. Good quality, too.",0
1.0,cuts hair,"February 2, 2018",Yes,"This is not a brush. It is a razor and it cuts the dogs hair, does not brush it. It will help with shedding because you've cut the hair off so of course it won't fall out.",0
5.0,This brush is fabulous!,"May 6, 2018",Yes,"My cat loves to be brushed with this, and it gets out tons of hair which would otherwise be all over everywhere! I use the large sized on him and he loves it!",0
5.0,This works IMMEDIATELY!!!,"January 15, 2019",Yes,"This birdhouse is FANTASTIC! After I put the battery in, the very first time my barkiest dog barked (I have four dogs), she stopped IMMEDIATELY!!! She hasn’t barked since; the other three haven’t, either.  I’m ordering another one so my entire back yard is covered. Thank you so much.",0
5.0,Wow! This works so well! Pulled out an ...,"January 19, 2018",Yes,Wow! This works so well! Pulled out an incredible amount of fur. We have two dogs that shed a lot and I've noticed much less fur on the floor since I've been using this.,0
5.0,Work perfect!! Had to swap out for now because ...,"October 21, 2017",Yes,Work perfect!! Had to swap out for now because they were to big for our stand! but we use them outside and will come back to be his main bowl soon!,1
5.0,... a little one and these bowls help them eat easily and without a bowl that moves,"December 2, 2017",Yes,These work great-have a big dog and a little one and these bowls help them eat easily and without a bowl that moves around,1
3.0,"Quality was good though, just not for a small dog","October 25, 2016",Yes,"A lot larger than I thought. I bought for my puppy and they were too big for him. Had to save for use outside or when we have visiting dogs. Quality was good though, just not for a small dog.",1
5.0,... allergies and he is actually eating half a pill like it's the best treat,"August 31, 2016",Yes,We just started these last week so I don't know results yet but we have a cat with skin allergies and he is actually eating half a pill like it's the best treat.  Our other cat won't eat it but that's OK.  The one who needs it is getting it.  Time will tell.  They answered a question I had very quickly.  So far so good!,1
5.0,It works and our cat loves it!,"May 24, 2018",Yes,"Have to admit I was skeptical, but our FINICKY CAT LOVES THIS and it already appears to be working after only 1 week!  Shiny coat, much less dander and more energy in our 11-year old Siamese.  Very, very pleased!",0
2.0,It's OK,"February 24, 2018",Yes,Our cat doen't like it as well as the last brush we used.,1
2.0,Didn't hold up as I would have expected,"November 30, 2016",Yes,"Order this item and the first week, the rubber on one of them came off and would not go back on.  I still use them both, but had to put down a mat so the one missing the rubber on the bottom didn't slide all over the hardwood floor. I have two small Maltese dogs, so its not like they were rough with the product.",1
5.0,Five Stars,"April 18, 2018",Yes,I love this product.,1
5.0,Great size for small to med dogs,"February 21, 2017",Yes,These bowls are attractive and have a non-skid rim around the bottom to keep them from sliding on the floor. Great size for small to med dogs.,1
5.0,Five Stars,"December 17, 2016",Yes,Our dog enjoys the product and his coat looks luxurious since using this.,2
5.0,Got hair,"March 28, 2018",Yes,Comb works very well. Our new cat just needed to smell it and I put it out among his toys for familiarity.  Takes out gobs of hair and he enjoys the grooming.,0
4.0,"Clean puppy, happy mom!","May 28, 2015",Yes,"I purchased this dog shampoo for my new rescue puppy's first bath. She smelled like a dog, and had what looked like dandruff near her tail. She was also scratching a lot around the collar area. The shampoo seemed to eradicate most of the dandruff problem, and she smelled fresher, too! I did not notice any irritating qualities, it lathers up nicely, and it appears to be mostly fragrance free. She still had a slight dog odor, but not bad. I used cool water and only lathered her up once. I have no experience with dogs, so maybe I should lather rinse and repeat next time. This Omega dog shampoo seems like a good value, and not full of chemicals.",0
4.0,good bowls for the price,"December 29, 2016",Yes,good bowls for the price. Can easily fit all of my 70lb dog's food without worry of spilling while he eats.,2
5.0,Great dishes,"July 1, 2017",Yes,Bought these for my little puppy I was about to get. Received as expected and have not had any problems.,1
5.0,Excellent products at a Excellent price,"December 8, 2017",Yes,Excellent products at a Excellent price. Very well made my  120# German shepherd dislikes bike rider's would think twice about him getting away from me with this leash.,0
4.0,It works great,"June 13, 2018",Yes,"Great brush! Doesn’t hold much hair so you have to keep cleaning. It removes a lot fmore dead and unwanted hair, good product",0
4.0,Nice smell and lather,"July 5, 2015",Yes,"I bought this shampoo as a last effort to give my yorkie-poo some relief from constant itching. This smell is nice and it lathers up nicely. Her coat was fluffy and felt clean. However, there was no relief from itching. I didn't expect miracles, but was hopeful that she would get some relief. I would buy this shampoo again for the other qualities I mentioned previously.",0
3.0,OK for fuzz.,"February 19, 2018",Yes,The stainless steel shedding blades work much better in my opinion. At least for Labs who shed ALL The time. This doesn't seem to grab as much hair.,0
5.0,Great heavy duty well built leash,"February 9, 2018",Yes,"Great leash. Very sturdy and heavy duty for a much better price than in the pet stores. Highly recommended. We bought three, one for each of our dogs and will just do away with our old leashes.",0
5.0,but they loved the attention and got used to it quickly,"December 22, 2017",Yes,"THIS IS WORTH EVERY PENNY.  I have 3 dogs, and the hair is overwhelming.  The first time I used it I would tell this would DRASTICALLY reduce the shedding in our home.  All of our dogs are short haired, I'm not sure how this would work with thicker coats (?), but was prefect for our 4 legged friends.  They were a little apprehensive at first as we have never ""groomed"" them, but they loved the attention and got used to it quickly, this will become a weekly ritual at our home.",0
5.0,Dogs loved it!,"September 7, 2015",Yes,The liver treats came timely and well packaged.  I have a 7 month old puppy and a 7 year old performance dog.  I go through a lot of treats in a short period of time.  I like that these have no additives and are pure liver so are good for the dogs.  The pieces are small and dry so no gumming up my pockets.  The pieces can even be broken up so they stretch even farther.  The bag is large and full so it will last more than a week. The dogs come running when they hear the bag opening.  I will definitely order these again!,0
5.0,Great Stainless Bowls,"March 24, 2017",Yes,"Love these bowls.  They are lightweight, but have the rubber around the bottom so they don't slide easily.  Easy to clean.",1
5.0,Very effective,"April 22, 2018",Yes,"The thing is fantastic. I didn't think so when I first looked at it out of the box, but once you learn how to use it right, watch the hair come out . It does a very good job of removing loose hair both undercoat and outer coat.",0
4.0,It works!,"April 14, 2018",Yes,After using this on our very hairy female cat (who sheds terribly) the shedding is almost non-existent for the last two weeks.,0
3.0,"Worth it for the price, but the capacity is smaller than I thought","January 14, 2017",Yes,"Cheap but they'll work. The actual bowl itself is smaller that I would have imagined but the product is huge, seems like a waste of space.",1
4.0,It works with all of them and they like to be brushed,"August 8, 2017",Yes,This brush works very well. I have three dogs with different types of fur. It works with all of them and they like to be brushed. The fur ejector works fairly well and is easy to use. Love the product!,0
5.0,The leash feels like very high quality,"March 3, 2018",Yes,The leash feels like very high quality.  The hand straps are padded so it feels good when holding it.  I would really recommend this leash - especially when looking at the price - much lower than other similar quality leashes elsewhere.,0
5.0,Great Leash,"October 29, 2017",Yes,"The leash is exactly as described, great price and arrived quickly.  I like the short handle for keeping my dog next to me when necessary. I would recommend this leash.",0
4.0,Our cat loved the taste,"March 3, 2018",Yes,"Our cat loved the taste, and her dry skin healed up in a few days, but it makes her throw up her dinner occasionally- she’s done it twice since she started taking it about a month ago. The vet hs suggested us giving it to her later, after she’s eaten.",1
5.0,The price for two was great. We feed about 14 oz raw plus a ...,"April 7, 2016",Yes,We wanted a bowl that would not slide all over the floor.  The bowls met that need.  The price for two was great.  We feed about 14 oz raw plus a few ounces of kibble.  We wet and mix up.  The bowls hold this.,1
5.0,Would recommend,"May 4, 2017",Yes,They work great for my medium/small sized dog. Easily fits 1 cup of dog food. The quality and design is nice and seems easy to clean.,1
4.0,"Much different look than previous bag, but still good","October 13, 2015",Yes,"I have bought these treats before they changed the processing...my dogs still love them but the look is not nearly as inviting as before the change.  I even called the manufacturer to make sure the treats were good despite the over freeze dried appearance.  I was assured they are using the same ingredients that just the cosmetics have changed. My bag came with about 1000 small pieces too...maybe exaggerating a bit but the treats seem to have crumbled in the bag.  I will buy again with hopes there is a bit more consistency to the size and I wish they would have stayed with the other processing company.  The ""new"" look really isn't appealing but my dogs LOVE them.",0
5.0,My dogs love it!,"March 21, 2018",Yes,"I own two Shiba Inu puppies and they both love to be combed with this wonderful comb, particularly during the period of heavy shedding. I would recommend it anytime.",0
4.0,Good set of bowls,"March 26, 2017",Yes,"Good quality set of bowls.  The rubber around the bottom is very nice.  I wish the steel were a bit thicker for more 'heft' in the hand, but at the price this is a deal that can't be beat.  I recommend.",1
5.0,Best smelling shampoo!,"September 23, 2017",Yes,Great shampoo. Very gentle and leaves my pup smelling fresh for a week or more. Only takes a small amount to get my Boxador shiny and soft. I think she enjoys the lather too!,0
3.0,The dogs' coat is nice and shinny but he has dandruff now,"June 7, 2018",Yes,"The dogs' coat is nice and shinny but he has dandruff now, probably due to weather season of the year. He does like the pills, no problems on that, I'll keep using it because of the I'll give it until the end of the 4 that I purchased then we'll see how he is doing.",0
5.0,He only likes crunch and it was difficult to find something that crunched and he would like. I purchased this product because of,"October 6, 2015",Yes,I have been looking for a product for my two cats but especially for Max. He's  fussy guy with a bum back knee. He only likes crunch and it was difficult to find something that crunched and he would like. I purchased this product because of the ingredients and thought it was well worth the chance that he would take it. Much to my surprise and relief he chowed down and was looking for more. It has only been about a week but I see him walking better and is more active. I also like that it is made in the USA.  Thank you for a great product from a relieved cat and cat mom.,1
2.0,"Thin, rubber ring falls off.","January 8, 2017",Yes,"I would not choose to buy this again. Cheaply constructed  and I can't wash in the dishwasher. Water gets in the loose rubber ring, gross.",1
5.0,I will continue to use this product and recommend others to try as well,"January 16, 2017",Yes,This vitamin supplement was originally given to me by a friend for review.  I have a Golden Retriever who sheds a lot.  It worked so well that I noticed an improvement of my dog's coat and skin almost immediately.  I also noticed that he was not licking the top of his paws. I will continue to use this product and recommend others to try as well!,1
5.0,She has not looked this good since she was a puppy and the house is ...,"August 10, 2017",Yes,"I have a white german shepard that blows her coat it seems for about 11 months a year. The regular brush I was using seem to take off a lot of hair but she always looked the same. This tool took off ALL the fur with not much effort.  She has not looked this good since she was a puppy and the house is easier to keep clean .  Another extra, the dog enjoyed being groomed. $$ well spent.",0
5.0,These bowls are just perfect for my growing husky,"April 26, 2016",Yes,"These bowls are just perfect for my growing husky. Though she can't manage to get all four of her paws into it, she still tries. At least it doesn't go skittering across the floor in her attempts.",1
5.0,Great Value,"July 18, 2015",Yes,Our puppy's first encounter with freeze dried treats was at the Veterinarian.  She loves them so much that we decided to try them. As always I check out Amazon first.  Found these and thought they were the best value for the money.  I like the fact that it actually said there were approximately 240 treats in the package.,0
5.0,BEST oatmeal shampoo!,"June 15, 2015",Yes,"My German Shepherd has extremely dry and itchy skin.  I cringed whenever I bathed her because all of the dog shampoos I've tried (there were many) were too rough and left her fur covered with white flakes, which made her skin condition even worse.  I was told to try oatmeal shampoo to help my dog.  There are lots of oatmeal shampoos on the market, but I really liked this one after reading the ingredients.  This shampoo is a winner!  If you take a close look, you can even see the huge chunks of aloe in the bottle.  Its very, very, very gentle.  No more white flakes!  It even helped with her itchiness and leaves her fur feeling super smooth and silky.  and yes, it gets the dirt out too!",0
4.0,It's not like she instantly stopped scratching after its first,"January 12, 2017",Yes,"Oops, I accidently rated this product two stars.  Just want to revisit to say I meant to rate it four stars.  The only reason I'm not giving it a five is because I think I need to use it on my Bichon-Coton a few times before I say it's a five.  It's not like she instantly stopped scratching after its first, and so far only, use.",0
5.0,Happy fur babies!!,"December 22, 2016",Yes,After using this shampoo my fur babies have almost stopped scratching and that is just one use. I feel that after another bath their skin and coat will be back to the normal state. It has a nice smell and works well.,0
5.0,I've found that with some baby talk and patience this brush is the best tool to brush her without fighting with her,"January 4, 2018",Yes,"My dog HATES being brushed, and she shreds A LOT of hair. I've found that with some baby talk and patience this brush is the best tool to brush her without fighting with her. It's helped a lot and it's so easy to collect the hair.",0
5.0,Perfect for my Dogs,"March 26, 2016",Yes,Arrived on time and as advertised. Perfect size for my dogs and they can't tip it over. I would recommend to anyone with medium sized dogs. They hold 2 cups of dog food each and that fills it to the very top.,1
5.0,Love this stuff! Helps with dandruff and feline acne.,"October 18, 2016",Yes,"My cat, Joey, has really dry skin and issues with feline acne. This tablet is beneficial because it's giving him the omega 3 that his body lacks and needs.",2
5.0,I have two long haired cats and it's amazing how much fur easily comes off with this comb,"April 8, 2018",Yes,Works real well. I have two long haired cats and it's amazing how much fur easily comes off with this comb.,0
5.0,Five Stars,"June 2, 2018",Yes,I love that I can control my dog with the padded handles on the lower leash. Excellent leash.,0
5.0,I like the option of the short handle,"May 9, 2018",Yes,"I like the option of the short handle, however my dog trainer isn't keen on it so I use it for around the neighborhood and not training class",0
5.0,Works great for Bull Terrier dandruff,"July 18, 2015",Yes,I have a English Bull Terrier and live in Phoenix Arizona.  He had a very bad dandruff problem and the hot dry climate I'm sure wasn't helping.  This shampoo in combination with All Natural Grizzly Salmon Oil solved his dandruff problem with in a few weeks.  I would absolutly recomend this product for dog owners experiencing a pup with dry itchy skin and dandruff.,0
5.0,Great bowls!,"March 29, 2017",Yes,"The bowls are perfect. They don't slip and yet they are easy to pick up from the floor. They work perfectly for 9 week-old Aussie puppy, so these will last years.",1
5.0,My dog sister gives this 5 🐾🐾🐾🐾🐾It’s her favorite water,"September 11, 2018",Yes,My dog sister gives this 5 🐾🐾🐾🐾🐾It’s her favorite water  bowl,0
5.0,Five Stars,"July 17, 2018",Yes,This is perfect for my standard poodle - looks well made and I recommend the leash,0
5.0,Great!,"August 11, 2017",Yes,"Helped my pup grow his nails back, makes his hair shiny.",1
3.0,You get what you pay for...,"March 6, 2018",Yes,"I bought this because we lost our expensive $50 deshedding brush, in hopes it does the same thing, but it doesn’t nearly work as well. We have a short haired dog (pitbull) and you wouldn’t think he sheds a lot, but he does. This brush hardly works on him, and it works better but still not great on our cat. I’m just probably gonna go get the expensive one because it works a million times better.",0
5.0,My favorite dog shampoo,"February 21, 2017",Yes,This is my second purchase. My longhaired dachshund has seasonal allergies that causes itchy skin. I've tried multiple brands of dog shampoo but this is the definite winner. Her dry itchy skin is much improved.,0
3.0,"Ok, but definitely NOT 32 oz","April 22, 2016",Yes,"These bowls are fine - sturdy and cute. But I purchased them for my large dog with the understanding that they each had a capacity of 32 oz. The bowls are wide but very shallow. They hold maybe two cups each, and even then the food or water is easily pushed over the edges once my dog begins to eat or drink. I'll keep them as extras because they were so inexpensive, but they cannot be used as our everyday bowls.",2
5.0,and this leash it is good for medium and large dogs,"April 2, 2018",Yes,I have a Pet Sitting Co. and this leash it is good for medium and large dogs. Especially if they pulls you strong.,0
5.0,Attractive and durable leash,"November 23, 2017",Yes,Very durable and attractive leash. The two handles make it great for controlling the dog better in tight quarters. Nice product.,0
5.0,I gave her one and she ate it like a treat,"May 13, 2017",Yes,"I received these tablets a few days ago, for my Australian Shepard who was having an issue with dry skin. When I got them, I gave her one and she ate it like a treat. I've been giving her one in the morning and one at night since then, and in only few days, I already see a difference in her skin and coat. I will definitely keep her on these.",0
5.0,I have a dachshund/mix who sheds horrible. This works very well,"November 14, 2017",Yes,I have a dachshund/mix who sheds horrible. This works very well. It really gets alot of the undercoat. More importantly it doesn't seem to be uncomfortable for my dog like my other brush.,0
4.0,Four Stars,"June 13, 2017",Yes,A little light weight so they move around even with the anti skid rims,1
5.0,As described,"October 10, 2017",Yes,They don’t slip and are cute,1
1.0,Doesn’t work,"January 6, 2019",Yes,Did absolutely nothing to stop my neighbors dog from barking. Acted like it wasn’t even there.,0
4.0,Four Stars,"June 30, 2018",Yes,My Yorkie/Poodle mix and Chihuahua love these. It's like a treat to them.,0
5.0,She has never liked a freeze dried treat before,"October 12, 2015",Yes,"Stinks to high heaven... aka DOG LOVES THESE!  She has never liked a freeze dried treat before.  She's getting a lot of treats currently b/c she's in training &amp; it's nice to mix in a healthier alternative.  They're a little pricey, but it's reasonable for the quality of the product.",0
5.0,Heavenly smell!,"March 31, 2015",Yes,"This shampoo smells AMAZING!!  My dogs smelled so much better after a wash with this shampoo.  The texture of this shampoo is ""gel-like"" and it doesn't lather like a normal shampoo. I have no issues with that because my dogs were clean and not itching. Can't wait to bathe them with it again this weekend!",0
2.0,Rust does occur after several months,"July 31, 2016",Yes,"Sad to say, this is also starting to rust like other metal bowls.  Also, the capacity is just not big enough. I use these as backup bowls in my car.",1
5.0,Great set of bowls,"March 23, 2016",Yes,"Great set of bowls. Can't beat this price and quality. The rubber on bottom definitely stops them from sliding. They are a little on the larger side, but that shouldn't be a negative. Just FYI.",1
5.0,Wonderful product.,"August 30, 2015",Yes,"Bathed my shepherd and lab two weeks ago. Their coats are silky and shiny. No dry skin after bathing. The shampoo has a pleasant mild smell, not overpowering or perfume like. I really like this product. It rinsed out easily too which was wonderful since the shepherd has such a  heavy coat.",0
3.0,but pretty lightweight stainless,"January 19, 2017",Yes,"I bought the double bowl stainless set for our new puppy.  They are OK quality, but pretty lightweight stainless. I expected a heavier bowl that wouldn't move easily. I guess for the price it does the work.",1
3.0,"Metal is very light gauge, and I think the ...","December 25, 2016",Yes,"Metal is very light gauge, and I think the ""rubber"" is more plastic. The bowls slide around quite a bit.",1
4.0,These are nice bowls but they are nothing special,"November 14, 2016",Yes,These are nice bowls but they are nothing special.  They are a good size for a medium dog or a couple of small dogs.,1
5.0,Five Stars,"May 2, 2017",Yes,Great value for the price.  Works perfectly for our dog.  Easy to clean.,1
4.0,Sturdy Bowl For All!,"July 19, 2016",Yes,"We recently got two puppies, Lab and Golden...These works great for not sliding around or tipping over. The great thing is they are big enough to last us for a long time when the dogs grow...Sturdy bowls and easy to keep clean!",1
4.0,Great for puppies,"April 11, 2016",Yes,Standard bowls but great nonslip bottom and they're shallow which makes for easy eating for puppies. Very light weight which can be a pro or con depending on preference.,1
2.0,Doesnt work,"January 23, 2018",Yes,Doesn't work for itchy skin. I have been using this on a very itchy puppy and it actually made it worse,0
5.0,Well Made,"March 5, 2018",Yes,Nice leash. Very sturdy construction. Should last a while despite my dog loves to chew them. Padded handle are comfortable.,0
4.0,"Not as big as I thought, but work.","February 14, 2017",Yes,"Bought 2 sets, not as big as I thought but do the job needed. Now each of the dogs have there own bowl and don't have to try and crowd the bowls.",1
5.0,Amazing,"October 29, 2017",Yes,Works great and easy to use!,1
5.0,Great for old or arthritic pets,"August 9, 2017",Yes,Great for old or arthritic pets.  My cat can't tolerate any other supplements or pain meds and she likes the taste of these :)  Great product,0
5.0,sturdy and decent looking bowls,"February 8, 2017",Yes,"There is nothing to complain about. Inexpensive, sturdy and decent looking bowls. They hold more than enough food and water for our corgi puppy.",1
3.0,"they look good, but they are SO wide and shallow","June 23, 2016",Yes,"Not a big fan.. they look good, but they are SO wide and shallow... water doesn't stay in them very well.  They are made nicely and are stable though.",1
4.0,It's comfortable to use and the second handle is great for ...,"December 29, 2017",Yes,Have been using it for a few weeks and it's holding up. It's comfortable to use and the second handle is great for crossing streets etc..Didn't receive the dog ID tag that was advertised as coming with the leash but I didn't buy this for that anyway.,0
5.0,This leash is perfect for our dog who pulls and the extra grab ...,"December 8, 2017",Yes,"This leash is perfect for our dog who pulls and the extra grab handle is nice when cars pass, good length also",0
5.0,Great smelling shampoo - best I have found on the market,"August 11, 2015",Yes,"It smells great (vanilla). So far it is the best shampoo that I have found for my itchy dog. I got a tip from my vet. I wash my dog quickly with Dawn dishwashing detergent to get rid of oils and then rinse her. Then I use the Omega shampoo which works better after the Dawn prewash. I keep the shampoo on her skin and wrap her in a dry towel. I hold her on my lap for 15 mins while the shampoo gets into her skin more. Then I rinse her and dry her. I no longer use a hair dryer, I just use lots of towels. Generally wash her at night before bedtime so she doesn't go outside for walks in the cold anymore except for a quick dash before bed. Leaving the shampoo on her let's the oatmeal work it's way into her skin and I think this process helps the itching issue a lot.",4
5.0,Best dog treats I have ever found.,"November 3, 2015",Yes,"Got these on a whim as they were gold box. My  3 dogs LOVE these things. I am not spinning tall tales, these treats have gotten the biggest reaction from my dogs. I def plan to buy more of these! Do your dogs a favor and try them, you (and the dogs) won't be disappointed.",0
5.0,I can only get a few good strokes then need to clear hair but hopefully will ...,"March 22, 2018",Yes,Works well. I can only get a few good strokes then need to clear hair but hopefully will improve as the extra hair is removed. Dog has not issues with comfort during brushing.,0
4.0,They are not heavy duty but they are a good quality for the price,"April 2, 2016",Yes,They are not heavy duty but they are a good quality for the price..My 65 and 100 lb dogs do well with these and we have not found them all over the kitchen due to the rubber edging.,1
1.0,They are very nice for a small dog,"March 11, 2016",Yes,"They are very nice for a small dog, but definitely not 32 ounces.  I am giving them to the local canine rescue.  I would highly recommend for a larger dog get a different bowl.",2
4.0,They feel pretty light which I was hoping for a little more ...,"October 15, 2016",Yes,Exactly as described. They feel pretty light which I was hoping for a little more sturdy but they get the job done.,1
5.0,Puppy approved!,"March 9, 2016",Yes,My boxer puppy loves these new bowls! The little paw prints are cute. I like that they are made of stainless steel. This should help with her muzzle irritation! She's actually able to get all of the food out of the bowl. Her last bowl made it hard for her to clear all of the food out. My favorite part is the non-slip on the bottom of the bowl. They actually stay put!,1
3.0,These bowls are nice for dog food,"July 11, 2016",Yes,"These bowls are nice for dog food, but I wouldn't recommend for water.  The bowl is angled in a just such a way that the water spills right out the other side when you fill it.  It also splashes out if you move the bowl even a tiny amount.  Just fine for food, though.",1
5.0,Works good on German Shepherd,"January 11, 2018",Yes,I bought this brush for my German Shepherd. It works good. The extra small one was a nice addition,0
5.0,Really good bowls at a great price!,"April 20, 2016",Yes,Really great dog bowls at a good price. Just brought home a new puppy and the non slip bottom is a life saver! Will definitely buy again when the time comes.,1
5.0,Five Stars,"March 8, 2018",Yes,"Great leash.  Strong, durable.  Keeps my large male great dane in check on walks.  Would order it again.",0
4.0,Great value for your money,"September 27, 2016",Yes,Great value for your money.  My dogs do not push around or chew on their bowls so this set was perfect for my needs.,1
5.0,Super deal!,"March 30, 2018",Yes,I replaced my dog's ceramic bowls with these. They were inexpensive and functional. They wash up easily too. It was a great purchase.,0
4.0,Four Stars,"April 27, 2017",Yes,"Seem okay, but the bowls are lighter than I anticipated.",1
5.0,Five Stars,"June 25, 2017",Yes,"Good quality, sturdy for when they get knocked around",1
4.0,Four Stars,"November 13, 2017",Yes,Good quality- the bowls are large.,1
5.0,Solid choice.,"June 9, 2016",Yes,"Solid have held up well over time.  The rubber seal has become loose and comes off easily, but no signs of rust or discoloration and that's more important to me.",1
5.0,Flawless,"March 26, 2017",Yes,"The bowls are bigger than I expected, but they work perfectly well and are of high quality.",1
5.0,Started using your product a week ago. What a ...,"December 28, 2017",Yes,"Started using your product a week ago. What a difference it is making in my kitty!  He has dry itchy skin and he has totally changed. He’s not scratching all the time, and his coat is so soft and smooth! And I found out I can’t leave the other half of the pill out on the counter ....... he really likes them!! Thank you so much",0
3.0,"Looks great, only works ok.","March 9, 2016",Yes,"Works great for food, but the water spills out every time either of my dogs goes for a drink. I have a Yorkshire Terrier and a Great Pyrenees. For water, one of these bowls should be deeper and have a harder angle so the water doesn't splash out so easily.",1
5.0,A must have for large active dogs,"October 26, 2017",Yes,"If you're planning to walk multiple dogs, this is a must have with your dual bungee type leash coupler. DO NOT use anything more than a dual coupler, no matter what the company promises as ""tangle free"". It don't exist beyond a dual...We have medium (30lbs+) and large dogs (60lbs+). We are active, and so are our dogs. We walk our neighbors' dogs for health and disciplinary reasons. This gives us a 1.5ft + (length of the coupler)ft from the first handle loop. LOVE IT! Perfect length to present to other walkers that we have the dog walkers that our dogs are close to us. Our dogs are well disciplined and trained, but the visual display provided comforts and security to other walkers...We've tested on our GSD (~90lbs), coupled up with wild huskies (~90lbs).There was no weak link for the the leash. The only weak link may be ""tangle free"" coupler. So far, after months of walking, while dealing with ultra high energy large dogs, the leash is nothing but a god-sent. I'm glad I spent a bit of extra money to get this leash, with a bit of loop padding, to deal with tugging dogs. Imagine a poly line's edges dig into your skin, causing rope burns. Got plenty of those until this little beauty...Easy to clean up, using warm water and Dawn dish soap. Handwash in 3 minutes (soak 15 minutes if it went through the mud), air dry in 3 hours, and ready to roll for the next walk.",1
5.0,Good quality leash,"March 12, 2018",Yes,Appears to be very well made and sturdy. Shipped quickly and arrived on time.,0
5.0,Five Stars,"April 10, 2017",Yes,These work great. I was looking for metal bowls for easier washing and these fit the bill.,1
2.0,Shallow,"May 24, 2016",Yes,"These do not hold 32 ozs. Shallowness of the dish makes it less functional, and non-skid ring easily came off when our puppy gets a hold of it.",1
5.0,dog likes them so do I,"April 4, 2018",Yes,do not slip or spill as I hoped they would not. Last purchased did and were returned.,0
5.0,Very gentel,"February 27, 2018",Yes,This product smells really really good and it’s very gentle on your puppy skin .,0
5.0,Great Product,"April 7, 2017",Yes,"Makes my dog's coat look great. Arrived on time, packaged well.",1
5.0,Good product,"January 2, 2017",Yes,My dog loves them. Only downside is that amount of treats you can give them is limited. No more than 3 or 4 per day. Because I was purchasing them for training purpose.,0
3.0,Not as big as expected. It says it holds ...,"April 7, 2016",Yes,Not as big as expected . It says it holds 32oz but that's if it's piled high above the rim. I can fit only about 2 cups until it starts to over flow.,1
5.0,Love it! Great leash for a big dog,"January 13, 2018",Yes,"Love it! Great leash for a big dog , and the lower handle is great for dog training and when you need your dog to stay close to you.",0
5.0,Five Stars,"April 5, 2017",Yes,"nice bowls, but the puppy will soon need a bigger one",1
5.0,Good value,"October 30, 2016",Yes,Good price for these bowls. Stainless is much better than aluminum and is better for you pet.,1
2.0,There were lines down the bowls looking like it was plated,"January 8, 2017",Yes,"This product was cheaply made.  There were lines down the bowls looking like it was plated.  Very cute, however disappointing.  We returned it",1
4.0,Nice quality and durable,"December 17, 2016",Yes,Nice size for my puppies food and water. Seems to be of good quality and durable.,1
