,article_title
1477,The US government deliberately made the desert deadly for migrants | Natascha Elena Uhlmann
1478,Ryan Jack gives Rangers deserved Old Firm victory over Celtic
1479,How to talk about sex with your children
1480,Rare right whale calf spotted off Florida coast
1481,How Jon Jones sparked UFC 232's 'atypical' move from Vegas to LA
1482,Liverpool v Arsenal: Premier League – live!
1483,"Stop adding cancer-causing chemicals to our bacon, experts tell meat industry"
1484,Life without plastic: pioneer  families show how it’s done
1485,Mikaela Shiffrin breaks World Cup record with 36th slalom triumph
1486,BBC writes to Russia after journalists' details are published online
1487,"Observer archive: a dustman in Brixton, 4 January 1953"
1488,How India's 'Modi jacket' craze tears at fabric of history
1489,Trump blames Democrats for deaths of children as shutdown grinds on
1490,Roberto Firmino hits hat-trick as Liverpool rout shambolic Arsenal
1491,"Helicopter crashes near zip line in UAE, killing all crew onboard"
1492,Why is the Syracuse man who saved thousands of migrants out of a job?
1493,Swiss national arrested in connection with murders in Morocco
1494,"Portland, Oregon hotel fires two after police eject black guest from lobby"
1495,June Whitfield: 70 years a comedy giant
1496,"‘I’m absolutely elated. It’s a miracle we made it,’ says polar hero Louis Rudd"
1497,Bangladesh election: polls open after campaign marred by violence
1498,UFC 232: Jon Jones v Alexander Gustafsson – live!
1499,Serbia: thousands rally in fourth week of anti-government protests
1500,Clemson routs Notre Dame to reach College Football Playoff title game
1501,Cyber-attack disrupts printing of major US newspapers
1502,China: slowing economy and inequality force new priorities for rulers
1503,How Nancy Pelosi signaled the end of Trump's easy ride
1504,"El Paso aid agencies overwhelmed as 1,600 migrants are cast on to streets"
1505,"My boyfriend and I are well matched, but I just don’t fancy him | Dear Mariella"
1506,Jon Jones stops Alexander Gustafsson in three to win UFC light heavyweight title
1507,"Alan Bennett on sexuality, celebrity... and the perfect egg sandwich  | Alex Clark"
1508,"Solar, thermal… Spain’s historic hotels go green"
1509,Bentley Bentayga: ‘Bursting with superlatives’ | Martin Love
1510,Cross-party move to stop the clock on hard Brexit
1511,Party tricks and naked writing: the eccentric life of Victor Hugo
1512,Syrian White Helmets try to rebuild lives in Canadian exile
1513,Crystal Palace v Chelsea: Premier League – live!
1514,Roberto Firmino shows all Liverpool parts are now operating at their peak | Andy Hunter
1515,Vladimir Putin sends new year greetings to Donald Trump
1516,'It was terror': Palestinians decry rise in attacks by Israeli settlers
1517,Michigan Republicans’ lame-duck drive to hobble Democrats fails – mostly
1518,"UK needs to get its act together before Brexit vote, Juncker says"
1519,French Resistance hero who saved hundreds of Jewish children dies aged 108
1520,Trappist monks devise system to make beer without wasting water
1521,Employers must prepare for an aging workforce – or face unexpected costs | Gene Marks
1522,Southampton v Manchester City: Premier League – live!
1523,Trump unmoved on border wall demand as shutdown enters ninth day
1524,N’Golo Kanté tightens Chelsea’s grip on top four with winner at Crystal Palace
1525,Bloomberg slams Trump over climate change: 'He has no right to his own facts'
1526,Manchester United v Bournemouth: Premier League – live!
1527,Agüero strikes as City survive Saints scare and return to winning ways
1528,Rob Delaney reveals birth of fourth child just months after son's death
1529,A sea goddess and swimmers in the snow: Sunday's best photos
1530,The UFC is persevering as it always has: by leaning into the chaos
1531,The eagle has landed: Clark the Cotton Bowl mascot descends on fans
1532,Trump ally Graham will ask president to reconsider Syria withdrawal
1533,Paul Pogba shines as Manchester United swat aside lacklustre Bournemouth
1534,Pep Guardiola: Title race would be over had Manchester City not won
1535,No-deal Brexit ferry company owns no ships and has never run Channel service
1536,New England Patriots earn another bye as Houston Texans clinch AFC South
1537,"Brazil moving its embassy to Jerusalem a matter of 'when, not if' – Netanyahu"
1538,Lion kills worker at North Carolina conservation centre
1539,Bosnian Serb protests grow amid anger over mysterious death of student
1540,From 'rice bunny' to 'back up the car': China's year of censorship
1541,UK and France pledge drive to tackle people smuggling in Channel
1542,Carlos Ghosn: Japanese court detains ex-Nissan chief for 10 more days
1543,Cane toads snake a ride on python to escape storm in northern Australia
1544,Donald Trump's worst weeks of 2018 – the definitive list
1545,'This is the only way now’: desperate Iranians attempt Channel crossing
1546,India: world's biggest election has suddenly become competitive
1547,Two dead after tower block collapses in Russian city of Magnitogorsk
1548,Devastating storm Usman leaves 68 dead in the Philippines
1549,Almost 200 die in three days on Thailand's roads as holiday carnage returns
1550,The world in 2018: how much do you know? – quiz
1551,Markets limp to end of dismal 2018 after worst year in a decade - business live
1552,Russia detains American in Moscow suspected of spying
1553,"2019: the events to watch out for in world politics, sport and arts"
1554,New Year's Eve 2018: celebrations around the world - live
1555,Edinburgh hots up for Hogmanay - in pictures
1556,Populist leaders to attend Jair Bolsonaro's inauguration in Brazil
1557,California's coastal habitats face existential threat from rising seas
1558,"Trump might visit UK in May after Brexit, says US ambassador"
1559,Taste of liberty: Brooklyn restaurant serves up refugees' dishes from home
1560,Music for migrants and a giant snowman: Monday's top photos
1561,Record number of Britons seek Irish passports before Brexit
1562,The uncontacted tribes of Brazil face genocide under Jair Bolsonaro | Fiona Watson
1563,New discoveries at Pompeii come amid renaissance at site
1564,"Sydney New Year's Eve celebrations hit by huge storm, torrential rain"
1565,Trump reaffirms demand for border wall as shutdown enters 10th day
1566,Happy new year? Tell that to the natural world we are destroying | Philip Hoare
1567,Elizabeth Warren announces 2020 run for president against Trump
1568,Macron's 'year of national cohesion' ends in tatters
1569,'Shake up your shopping ... and start cooking' – how to get better at healthy eating
1570,Times Square New Year's Eve ball drop to celebrate journalists and press freedom
1571,Trump slows Syria pullout but claims 'hero' status
1572,Bright future? Fashion's watershed year as it moves from waste to woke
1573,The Guardian view on US-China antagonism | Editorial
1574,Don’t expect Brexit to give us a British Alexander Hamilton | Rafael Behr
1575,Louis CK mocks Parkland survivors in audio of standup routine
1576,Elizabeth Warren is running – here are 10 others who may seek the Democratic nomination
1577,$9m for 139 seconds: Floyd Mayweather cashes in against Tenshin Nasukawa
1578,Venice to charge day-trippers up to €10 to enter city
1579,"The Eagles are playoff bound, the Steelers aren't"
1580,FTSE 100 tumbles by 12.5% in 2018 – its biggest fall in a decade
1581,Judge denies Kevin Spacey's request to skip hearing in sexual assault case
1582,Wall Street's tumultuous 2018 ends with a modest rise
1583,Serena Williams and Roger Federer to play each other for the first time ever
1584,Arizona shelter under fire as videos said to show rough handling of migrant kids
1585,Sir Alex Ferguson offers Ole Gunnar Solskjær helping hand at United
1586,Trump 'ready and willing' to make a deal as shutdown chaos continues
1587,'It's a free-for-all': shutdown brings turmoil to beloved US national parks
1588,Manchester stabbing: counter-terror police take lead after three attacked at Victoria station
1589,You're going to fail your New Year's resolution – but it might not be your fault | Gideon Meyerowitz-Katz
1590,Arc de Triomphe lights up for new year in Paris – video
1591,Kim Jong-un's new year message warns of 'new path' if sanctions stay
1592,Why Trump’s Middle East peace plan is just a sideshow
1593,Space probe Osiris-Rex makes closest ever orbit of smallest ever object
1594,Toxic legacy taints ANC as it nears 25-year rule in South Africa
1595,Apprehension on all sides before launch of Irish abortion services
1596,The top Democrats set to make Trump's life miserable in 2019
1597,Human dignity is in danger. In 2019 we must stand as one to survive | Ai Weiwei
1598,'It's astonishing': The demise of the daily White House press briefing
1599,'Resign from Facebook': experts offer Mark Zuckerberg advice for 2019
1600,How to Be Invisible by Kate Bush review – trying to unravel an enigma
1601,Turning air into drinking water: Africa's inspired inventors
1602,New Horizons and Ultima Thule: anxious wait after most distant ever space flyby
1603,Preparations for the Harbin ice and snow festival – in pictures
1604,I used to defend smacking children. Now I see it as an abuse of power | Lola Okolosie
1605,'Victor Hugo becomes a sex god in my mind' – how to get better at French
1606,The best of 2018 wildlife photography awards – in pictures
1607,Football transfer rumours: Kalidou Koulibaly to Manchester United?
1608,"2019, World Cup fever No 2: England and Scotland go for glory in France | Louise Taylor"
1609,Brexit is not an end to Britain’s liaison with Europe. It’s just a new beginning | Dan Snow
1610,'We are not robots': Amazon warehouse employees push to unionize
1611,Manchester stabbings: counter-terror police raid house in city
1612,Out with a bang! New Year's Eve fireworks around the world – video
1613,T-rrific: rare dinosaur fossils crown major Smithsonian makeover
1614,Black Mirror: Bandersnatch review – the TV of tomorrow is now here
1615,Louis CK’s rant shows abusers are still casting themselves as victims | Fiona Sturges
1616,Here's how to crack your New Year's resolutions | David DeSteno
1617,Artificial intelligence can’t save us from human stupidity | Editorial
1618,Serena Williams faces Roger Federer for first time – Hopman Cup live!
1619,Everton v Leicester City: Premier League – live!
1620,A new start: Jilly Cooper on the night in a Kama Sutra room that led to her book Riders
1621,"Army barracks 'not fit for animals', says Tory MP after leaked fire safety report"
1622,"US man detained in Russia is former marine, says family"
1623,Several people injured after man drives car into crowd in Germany
1624,Baby girl pulled alive from collapsed Russian tower block
1625,"Arsenal v Fulham, Nottingham Forest v Leeds and more: clockwatch – live!"
1626,Andy Murray’s class and vulnerability both on display in long-awaited return | Kevin Mitchell
1627,Eight people airlifted from broken French funfair ride
1628,"Pop, punk and protest songs: the hottest music on the horizon in 2019"
1629,Ellie Goulding: 'I'm finally myself again'
1630,Jair Bolsonaro's inauguration: the day progressive Brazil has dreaded
1631,Splashing around: New Year's Day swimmers – in pictures
1632,DRC electoral fraud fears rise as internet shutdown continues
1633,US chief justice endorses steps to combat harassment within court system
1634,Queens and aces: the best classical music of 2019
1635,Is the end of Netflix's golden age in sight?
1636,Cardiff City v Tottenham Hotspur: Premier League – live!
1637,Arsenal’s Pierre-Emerick Aubameyang strikes again to punish wasteful Fulham
1638,America's year in satellite imagery – in pictures
1639,Take action: Parkland students on five ways to fight gun violence in 2019
1640,Dakota Access pipeline developer misses year-end deadline to plant trees
1641,Bolsonaro sworn in as Brazil's president on wave of conservative enthusiasm
1642,Outrage after Netflix pulls comedy show criticising Saudi Arabia
1643,Christian Eriksen turns on the style as Tottenham cruise to victory over Cardiff
1644,Michael van Gerwen v Michael Smith: PDC World Darts Championship final – live!
1645,Wada accused of being ‘played’ after Russians miss doping data deadline
1646,Doctor Who: Resolution review – old foes and Brexit gags in spectacular satire
1647,US authorities fire tear gas across border to repel Central Americans
1648,Mali attack: 37 civilians killed in armed raid on village
1649,Huge red dust storm envelops Australian town of Dubbo on New Year's Eve – video
1650,Indonesia landslide on New Year's Eve leaves 15 dead and 20 missing
1651,Indian women form 620km human chain in support of lifting of temple ban
1652,Plane crash deaths jump sharply in 2018 – but fatalities 'still rare'
1653,"The incredible story of Pita Taufatofua, Tonga's shirtless Olympic flag bearer"
1654,Mitt Romney: Trump's biggest failure is a lack of character in leading 'divided' nation
1655,'All necessary means': Xi Jinping reserves right to use force against Taiwan
1656,Markets dive as China manufacturing weakens in bleak start to 2019
1657,"Development project threatens endangered Florida panther, experts say"
1658,"Royals, rogues and Rudolf Nureyev: the best films of 2019"
1659,Josie Rourke: 'I was fighting to put a period in a period movie'
1660,Vietnam criticised for 'totalitarian' law banning online criticism of government
1661,Inside Mother Camp: the woman tackling Afghanistan's drug problem
1662,'Momentum is growing': reasons to be hopeful about the environment in 2019
1663,The stigmatised art of tattooing in Japan - in pictures
1664,Mod squad: the world's most beautiful art deco buildings – in pictures
1665,Stocks start 2019 in retreat as China factory output shrinks – business live
1666,Japanese emperor makes last new year appearance before abdication
1667,Several killed in rail incident in Denmark
1668,Trudeau's environmental record on the line in Canada election year
1669,Christian Pulisic joins Chelsea from Borussia Dortmund for £58m
1670,Masters and machines: the best art and architecture of 2019
1671,"German leftwing movement will take to streets like gilet jaunes in 2019, says founder"
1672,Dr Hook & the Medicine Show vocalist Ray Sawyer dies aged 81
1673,"Across America, racist and sexist monuments give way to a new future | Rebecca Solnit"
1674,Michael Schumacher 'in very best of hands' says family of F1 great
1675,Corbyn tells May to strike new Brexit deal Labour can back
1676,Fears of exploitation as Japan prepares to admit foreign workers
1677,Florence museum urges Germany to return painting stolen by Nazis
1678,Pope Francis's ball skills and couture canines: Wednesday's best photos
1679,"Kanye West pledges to perform in Maga hat, and reaffirms presidential ambitions"
1680,Pompeo: US seeking access to ex-marine detained in Russia on spy charges
1681,Unfazed: royal wedding cellist Sheku Kanneh-Mason on a life-changing year
1682,Tiger roars back and Floyd-Manny II: our bold sports predictions for 2019
1683,Chinese arthouse film breaks box office records after viewers mistake it for romcom
1684,Protests break out in India after two women become first to enter Sabarimala temple - video report
1685,Aftermath of fatal train accident on Danish bridge - video
1686,Chinese spacecraft to become first to land on far side of moon
1687,"'The drought is over': mass expiration of US copyright sees books, film and art enter public domain"
1688,Russian investigators deny explosives caused Magnitogorsk building collapse
1689,Bangladeshi journalist arrested over election irregularities reporting
1690,Tesla triples deliveries of electric cars but share price tumbles
1691,US markets start 2019 with a whimper as government shutdown drags on
1692,Rory McIlroy and formidable field head to Hawaii for 2019 curtain-raiser
1693,Pro-choice activists hope Ireland’s success can be replicated in North
1694,Could AI counselling be the future of therapy?
1695,Jair Bolsonaro launches assault on Amazon rainforest protections
1696,No North Atlantic right whales killed in Canadian waters in 2018
1697,"Yemen: Houthi rebels' food aid theft only tip of iceberg, officials say"
1698,Newcastle United v Manchester United: Premier League – live!
1699,"Chelsea v Southampton, Huddersfield v Burnley: Premier League – live!"
1700,"at 12, he lost his best friend. he found a way to remember him."
1701,"in north carolina, voting controversies are common. here’s the recent history."
1702,the oil industry’s covert campaign to rewrite american car emissions rules
1703,the state of the city
1704,"jon batiste’s world is wonderful, but flawed"
1705,maria butina pleads guilty to role in a russian effort to influence conservatives
1706,two workers die at american research base in antarctica
1707,california today: california today: life as a first-generation u.c. irvine student
1708,bill cosby’s appeal cites 11 ‘errors’ by trial judge
1709,trump’s noaa nominee won’t get senate vote this year
1710,fact check of the day: trump’s baseless claim that mexico will pay for the wall through the new nafta
1711,"virgin galactic rocket ship reaches space, a milestone in space tourism"
1712,"he didn’t get to vote in his race. it tied, then he lost by a roll of the dice."
1713,"on washington: it took quite a push, but mcconnell finally allows criminal justice vote"
1714,drivers grab cash after armored truck mishap in new jersey
1715,"‘a few more weapons purchases cannot buy our silence,’ senator says in rebuke of saudi arabia"
1716,n.i.h. to scrutinize private donations to scientific research projects
1717,democrats in new jersey have a firm grip on power. they want even more.
1718,california’s chief firefighter looks back on 30 years of infernos
1719,children are still being hit at school. here are 5 things to know.
1720,u.s. bills saudis and emiratis $331 million for refueling warplanes in yemen
1721,james inhofe under fire over purchase of raytheon stock
1722,chase for talent pushes tech giants far beyond west coast
1723,on politics with lisa lerer: trump had a bad week. things could soon get worse for him.
1724,"their plans derailed by a wildfire, seniors at paradise high school wonder what’s next"
1725,apple to add $1 billion texas campus and thousands of jobs across u.s.
1726,on politics: tabloid company agrees to cooperate in trump hush-money inquiry
1727,bolton warns of threat from russia and china in africa
1728,bomb threats sent to schools and businesses across u.s.
1729,"a human heart, left aboard, sends airplane back to where it started"
1730,the paris accord promised a climate solution. here’s where we are now.
1731,mapping the brain’s genetic landscape
1732,california today: california today: how cities can lure tech giants like apple
1733,"after a natural disaster, is it better to rebuild or retreat?"
1734,"scott walker, with legacy in mind, to act on bills stripping power from successor"
1735,lists of priests accused of sexual abuse are spilling out across the country
1736,trump inaugural fund and super pac said to be scrutinized for illegal foreign donations
1737,cohen says ‘of course’ trump knew hush payments to women were wrong
1738,trilobites: watch this wolf go fishing
1739,"gender letter: sisterhood in the halls of congress, and you’re invited"
1740,scott walker signs bills stripping powers from incoming wisconsin governor
1741,"immigration arrests and deportations are rising, i.c.e. data show"
1742,"‘it’s time to change the rules,’ warren tells graduates in speech on racism"
1743,sanders and warren meet and agree: they both are probably running
1744,"minneapolis, tackling housing crisis and inequity, votes to end single-family zoning"
1745,bolton outlines a strategy for africa that’s really about countering china
1746,senate votes to end aid for yemen fight over khashoggi killing and saudis’ war aims
1747,"white house says ‘horrific, tragic’ death of migrant girl is not its responsibility"
1748,companies asked a mississippi senator to refund donations. they are still waiting.
1749,"elizabeth warren, speaking to black graduates, warns ‘the rules are rigged’"
1750,chris christie drops out of consideration for white house chief of staff
1751,walker defends legacy after signing bills limiting successor’s power
1752,church leaders accuse princeton of keeping looted manuscripts
1753,"armored truck spills cash in new jersey, and somehow, $6,000 is returned"
1754,authorities uncover $8 million-a-week drug operation in pennsylvania
1755,fact check of the day: kellyanne conway’s inaccurate claims about michael cohen’s hush-money payments
1756,trump kicks away obama traditions even at the dinner table
1757,"andrew frierson, pioneering black opera singer, dies at 94"
1758,john gibbons dies at 94; argued for rights for guantánamo detainees
1759,"after decades, a death sentence depends (a little) less on where you live"
1760,trump’s push for trade win could undermine sanctions enforcement
1761,"how ‘baby, it’s cold outside’ went from parlor act to problematic"
1762,"florida’s ‘stand your ground’ law applies to police, too, court rules"
1763,pelosi and her no. 2 go back 50 years. but they’re not quite friends.
1764,on politics: senate votes to withdraw u.s. support for saudi arabia’s war in yemen
1765,trump improvises new defense in hush money payments
1766,star economist at harvard faces sexual harassment complaints
1767,"fred greenstein, who studied leadership styles of presidents, dies at 88"
1768,"fred greenstein, 88, dies; political ‘psychologist’ assessed presidents"
1769,wisconsin’s scott walker signs bills stripping powers from incoming governor
1770,national park service now owns the home where martin luther king jr. was born
1771,small acts of kindness
1772,"for kushner, criminal justice has been a personal issue and a rare victory"
1773,"irwin hollander, master lithographer who revived fine art, dies at 90"
1774,north carolina republican says he chose to hire controversial operative
1775,"jon kyl to leave arizona senate seat, setting up tussle over his replacement"
1776,"what is talc, where is it used and why is asbestos a concern?"
1777,the battle for power in wisconsin seems bound for court. it’s only going to get uglier.
1778,"as the trumps dodged taxes, their tenants paid a price"
1779,"after skipping events honoring fallen soldiers, trump visits arlington cemetery"
1780,health law could be hard to knock down despite judge’s ruling
1781,trump names mick mulvaney acting chief of staff
1782,mueller rejects flynn’s attempt to portray himself as victim of the f.b.i.
1783,texas judge strikes down obama’s affordable care act as unconstitutional
1784,former tar heel players derail new home for ‘silent sam’ confederate statue
1785,"in weaponized courts, judge who halted affordable care act is a conservative favorite"
1786,ruling striking down obamacare moves health debate to center stage
1787,a bright green ‘christmas comet’ will fly the closest to earth in centuries
1788,mulvaney called trump a ‘terrible human being’ in 2016
1789,pete davidson of ‘saturday night live’ is accounted for after alarming instagram post
1790,the special counsel is fighting a witness in court. who is it?
1791,"ryan zinke, face of trump environmental rollbacks, is leaving interior department"
1792,what the obamacare court ruling means for open enrollment
1793,‘they’re not fact-checking’: how lies on college applications can slip through the net
1794,nashville’s star rises as midsize cities break into winners and losers
1795,trump says he will review case of soldier charged with murdering afghan man
1796,fact check: trump officials say drug prices are inflated. so are some of their claims on a solution.
1797,a shutdown looms. can the g.o.p. get lawmakers to show up to vote?
1798,‘the worst i’ve ever seen it’: lean stone crab season follows red tide in florida
1799,"beto o’rourke places well in iowa poll, behind biden and sanders"
1800,father of migrant girl who died in u.s. custody disputes border patrol account
1801,some kotex tampons recalled after coming apart and leaving parts inside the body
1802,priest pulled from funerals after repeatedly citing teenager’s suicide in ‘pastoral disaster’
1803,feature: these 3 democrats will finally have the power to investigate the white house. how far will they go?
1804,what can make a 911 call a felony? fentanyl at the scene.
1805,russian effort to influence 2016 election targeted african-americans
1806,california today: california today: an official welcome
1807,on politics: republicans in congress have a shutdown problem
1808,a chef’s singular take on chiles rellenos
1809,advertising: digital data gives billboard owners more reason to ‘love a good traffic jam’
1810,"when report cards go out on fridays, child abuse increases on saturdays, study finds"
1811,road trip: 44 islands and 42 bridges: a florida keys road trip
1812,russian 2016 influence operation targeted african-americans
1813,voter suppression and racial targeting: in facebook’s and twitter’s words
1814,lamar alexander will not seek re-election in 2020
1815,was it something we said? border towns fret as canadians stay home
1816,"homelessness rises slightly despite strong economy, federal report finds"
1817,profiles in science: the yoda of silicon valley
1818,twist in green beret’s extraordinary story: trump’s intervention after murder charges
1819,"u.s. is ‘working on’ extraditing gulen, top turkish official says"
1820,cuomo to push legalizing recreational marijuana in new york by early 2019
1821,"a museum honoring judy chicago, star of feminist art? not in this ‘sleepy little town’"
1822,ryan zinke’s legal troubles are far from over
1823,study shows big rise in teen vaping this year
1824,mississippi officer placed a retired police dog in a shelter instead of keeping him. he’s been demoted.
1825,an officer placed a retired police dog in a shelter. now he’s been demoted.
1826,nebraska petition seeks medical marijuana ballot measure in 2020
1827,feature: these democrats will soon have the power to investigate the white house. how far will they go?
1828,what can make a 911 call a felony? fentanyl at the scene
1829,saudi arabia denounces u.s. senate’s response to khashoggi murder
1830,justice department asks court to halt emoluments case against trump
1831,senator lamar alexander will not seek re-election in 2020
1832,judge to sentence former trump aide michael flynn for lying to f.b.i.
1833,some of the popular images and themes the russians posted on social media
1834,trump wishes michael flynn good luck before sentencing
1835,california today: california today: untangling moves to deport vietnamese immigrants
1836,california today: untangling moves to deport vietnamese immigrants
1837,blaming the deep state: officials accused of wrongdoing adopt trump’s response
1838,trump officials plan to rescind obama-era school discipline policies
1839,"michael flynn, stocks, les moonves: your tuesday briefing"
1840,trump foundation to close after lawsuit by new york attorney general
1841,martha mcsally appointed to arizona senate seat once held by john mccain
1842,on politics with lisa lerer: republicans got their health care wish. it backfired.
1843,"watch ‘bambi’ monthly in jail, judge orders man in deer poaching case"
1844,a power grab? politics as usual? michigan’s governor will decide
1845,former michael flynn business associates indicted in turkey lobbying case
1846,utah to begin enforcing strictest d.u.i. law in country
1847,"penny marshall, tv sitcom star and hollywood director, dies at 76"
1848,trump administration imposes ban on bump stocks
1849,yemeni mother gets travel ban waiver to visit dying son in california
1850,lawmakers consider adding measure protecting israel to languishing spending bills
1851,trump administration report on school safety plays down role of guns
1852,"allow school personnel to have access to weapons, report says"
1853,"at war: in the united states, his problem wasn’t the taliban. it was everything else."
1854,how to help teenagers quit vaping
1855,suicide among veterans is rising. but millions for outreach went unspent by v.a.
1856,2 chicago police officers killed by a train as they chased a suspect
1857,trump foundation to close amid lawsuit accusing it of ‘willful self-dealing’
1858,cvs and aetna agree to remain separate during antitrust review
1859,"officers had no duty to protect students in parkland massacre, judge rules"
1860,"penny marshall, tv sitcom star and hollywood director, dies at 75"
1861,judge seeks monitoring of cvs and aetna during antitrust review
1862,cuomo moves to legalize recreational marijuana in new york within months
1863,"tech companies dragged feet on russian interference data, reports say"
1864,‘justice’ prevails as 2018 word of the year
1865,five takeaways from new reports on russia’s social media operations
1866,russian 2016 influence operation targeted african-americans on social media
1867,states ask judge to declare health law still in effect while ruling is appealed
1868,document provides new details of michael flynn interview with f.b.i.
1869,on politics: new details on russia’s efforts to influence american politics
1870,a toaster on wheels to deliver groceries? self-driving tech tests practical uses
1871,the market is worried. the economy is strong. how will the fed react?
1872,"dead skunks? rotting lemons? no, that stench is just california’s pot fields"
1873,"penny marshall, ‘laverne & shirley’ star and movie director, dies at 75"
1874,california today: california today: what’s that smell?
1875,"as trump signals retreat on shutdown threat, senators mostly shrug"
1876,"roland fryer, accused of harassment at harvard, quits economics panel"
1877,senate passes bipartisan criminal justice bill
1878,is denaturalization the next front in the trump administration’s war on immigration?
1879,latent prejudice stirs when a black man tries to join a charleston club
1880,trump considering full withdrawal of u.s. troops from syria
1881,"facebook, criminal justice, federal reserve: your wednesday briefing"
1882,"nearly 40,000 people died from guns in u.s. last year, highest in 50 years"
1883,facebook’s data sharing and privacy rules: 5 takeaways from our investigation
1884,nevada becomes first state with majority-women lawmakers
1885,"hacked european cables reveal a world of anxiety about trump, russia and iran"
1886,"it’s showtime for elon musk’s boring co., with a long way to go"
1887,"in overture to democrats, trump officials may challenge peru on deforestation"
1888,"john ford noonan, ‘coupla white chicks’ playwright, dies at 77"
1889,senate republicans introduce stopgap bill to avert shutdown
1890,"addicted to vaped nicotine, teenagers have no clear path to quitting"
1891,"washington’s mystery witness turns out to be a corporation, not a person"
1892,honduran migrant seen fleeing tear gas with her toddlers is now in u.s.
1893,"politics played ‘no role’ in interest rate hike, fed chairman says"
1894,"as facebook raised a privacy wall, it carved an opening for tech giants"
1895,"fed raises rates, demonstrating confidence in health of economy"
1896,pope ousts los angeles bishop after allegation of misconduct with a minor
1897,"china holds third canadian, escalating diplomatic crisis with the united states"
1898,illinois attorney general says catholic church withheld names of at least 500 accused priests
1899,"u.s., supporting mexico’s plan, will invest $5.8 billion in central america"
1900,‘dead skunk’ stench from marijuana farms outrages californians
1901,what to expect when expecting a government shutdown
1902,"bidding congress farewell, paul ryan laments nation’s ‘broken’ politics"
1903,congress grills head of v.a. over new health care law
1904,"news analysis: a strategy of retreat in syria, with echoes of obama"
1905,white house signals retreat on shutdown threat
1906,advertisers flee tucker carlson’s fox news show after he derides immigrants
1907,judge postpones sentencing of michael flynn after harshly rebuking him
1908,not just khashoggi: reprisal killings of journalists surged this year
1909,"it’s showtime for elon musk’s tunnel, with a long way to go"
1910,thousands of migrant children could be released after policy change
1911,on politics: the end of the trump foundation
1912,living with tech: what we can learn about online privacy from climate change
1913,"she wouldn’t promise not to boycott israel, so a texas school district stopped paying her"
1914,"fed raises interest rates, showing confidence in health of economy"
1915,stopgap bill to avert shutdown punts border wall to next year
1916,officials say trump has ordered full withdrawal of u.s. troops from syria
1917,the church settled a sexual abuse case against this priest. why is he still saying mass?
1918,what we learned in 2018: health and medicine
1919,he was sentenced to life for selling crack. now congress wants to let him out.
1920,she was exonerated of the murder of her son. her life is still shattered.
1921,vladimir putin welcomes u.s. withdrawal from syria
1922,uber’s driverless cars return to the road after fatal crash
1923,california today: california today: scott wiener ‘took to heart’ housing bill criticism
1924,‘donald’s right’: putin welcomes u.s. withdrawal from syria
1925,putin welcomes trump’s syria withdrawal: ‘donald’s right’
1926,trump administration to lift sanctions on russian oligarch’s companies
1927,the harvard bias suit by asian-americans: 5 key issues
1928,finding a new way to depict addiction visually
1929,u.s. joining allies in rebuke of chinese cyberespionage
1930,trump’s attorney general nominee criticized russia investigation
1931,hakuna matata™? can companies actually trademark a phrase like that?
1932,conservative revolt endangers deal to avoid a shutdown
1933,putin welcomes u.s. withdrawal from syria as ‘correct’
1934,times insider: how we created a new way to depict addiction visually
1935,a reader’s first memory of racism: ‘these things take time’
1936,democratic committee plans a dozen primary debates for 2020
1937,"defending syria withdrawal, trump says u.s. should not be ‘policeman of the middle east’"
1938,trump ‘will not sign the bill’ to prevent government shutdown
1939,he was sentenced to life for selling crack. now congress wants to change cases like his.
1940,"despite challenges, health exchange enrollment falls only slightly"
1941,north carolina election contractor was investigated for possible fraud in 2016 race
1942,"under new leadership, the c.f.p.b. lives on"
1943,"fewer births, more deaths result in lowest u.s. growth rate in generations"
1944,u.s. will send migrants back to mexico as they wait on asylum claims
1945,the church settled sexual abuse cases against this priest. why is he still saying mass?
1946,interior dept. moves toward selling oil leases in arctic refuge
1947,democrats plan a dozen primary debates for 2020 candidates
1948,"climate team, and its boss, just got harder to find at top health agency"
1949,on politics with lisa lerer: is this the future of the left?
1950,read the letter jim mattis wrote to trump
1951,"catholic church in illinois withheld names of at least 500 priests accused of abuse, attorney general says"
1952,secret experiment in alabama senate race imitated russian tactics
1953,facebook rebuked for failing to disclose data-sharing deals
1954,"trump withdraws u.s. forces from syria, declaring ‘we have won against isis’"
1955,on politics: trump orders all troops out of syria
1956,senate passes stopgap spending bill that would avert shutdown
1957,trump’s use of national security to impose tariffs faces court test
1958,late-night philosophy festival expands to five u.s. cities
1959,he was sentenced to life for selling crack. now congress wants to reconsider.
1960,"defense secretary jim mattis resigns, rebuking trump’s worldview"
1961,ex-senate aide get 2 months in prison for lying to f.b.i. about contact with reporter
1962,senate unanimously passes bill making lynching a federal crime
1963,trump administration moves to restrict food stamp access the farm bill protected
1964,at war: my husband was killed in niger. his death only became real to me when i saw his coffin.
1965,the shift: the 2018 good tech awards
1966,"‘this was our road’: in seattle, nostalgia flows as an old highway nears its end"
1967,a top aide’s exit plan raises eyebrows in the white house
1968,california today: california today: what a 4 a.m. closing time would mean for bars
1969,at war: behind the reporting: the journey of an american bomb from arizona to yemen
1970,top official says the fed will adjust if the economy weakens
1971,"michigan’s lawmakers took aim at incoming democrats, but the hits were mostly minor"
1972,the new old age: this type of illiteracy could hurt you
